isolate,lat,long,Lineage,State,,
20ACT14,-35.2398835,149.0861215,1,ACT,,
20ACT25,-35.1896499,149.1118883,1,ACT,,
20QLD11,-27.527355,153.2487068,1,QLD,,
20QLD86,-27.533024,151.9355266,1,QLD,,
20WA97,-34.2989715,116.1215656,1,WA,,
21NSW100,-33.3539378,151.2600444,1,NSW,,
21NSW102,-35.485059,149.186404,1,NSW,,
21QLD135,-27.533024,151.9355266,1,QLD,,
22NSW08,-33.35117728,151.263219,1,NSW,,
22NSW103,-31.8248661,149.7196774,1,NSW,,
22NSW107,-29.91412426,149.7908081,1,NSW,,
22NSW123,-32.79370274,151.7490469,1,NSW,,
22NSW79,-34.49508,143.59579,1,NSW,,
22NSW97,-33.56292991,148.6676065,1,NSW,,
22QLD110,-28.54878914,150.3244799,1,QLD,,
22QLD114,-26.53295697,151.879929,1,QLD,,
22QLD116,-27.557684,151.864726,1,QLD,,
22QLD118,-28.21412845,151.9999444,1,QLD,,
22SA132,-36.703752,140.905924,1,SA,,
22VIC117,-36.18045594,141.8905044,1,VIC,,
22VIC126,-36.742109,142.109718,1,VIC,,
22VIC128,-37.16835152,143.1313693,1,VIC,,
22NSW80,-35.098,146.946,1,NSW,,
22NSW81,-35.04,147.319,1,NSW,,
22NSW101,-31.811585,149.750431,1,NSW,,
22NSW102,-31.79642,149.763939,1,NSW,,
22NSW105,-30.740419,149.99383,1,NSW,,
22NSW106,-30.265528,149.396362,1,NSW,,
22NSW108,-29.555621,149.83658,1,NSW,,
22NSW109,-29.146734,150.311976,1,NSW,,
22VIC130,-36.718536,141.460197,1,VIC,,
20ACT40,-35.28730262,149.0695919,2,ACT,,
20ACT80,-35.26244874,149.0812615,2,ACT,,
21ACT105,-35.273596,149.102683,2,ACT,,
21ACT116,-35.28730262,149.0695919,2,ACT,,
21NSW142,-35.485746,149.186694,2,NSW,,
22WA50,-33.393294,121.024552,3,WA,,
22WA51,-32.871,116.451,3,WA,,
22QLD111,-28.420511,151.054863,3,QLD,,
22QLD112,-28.20966,152.06071,3,QLD,,
22WA45,-31.58828097,116.5180914,4,WA,,
22WA29,-32.451,118.864,5,WA,,
22WA53,-33.09,117.327,5,WA,,
22WA54,-33.288,115.93,5,WA,,
22WA23,-31.295,116.831,5,WA,,
21WA139,-32.91947105,121.6125762,6,WA,,
22WA47,-31.64481922,116.6502087,7,WA,,
22WA55,-30.287,116.667,8,WA,,
20WA73,-33.64388,121.99186,11,WA,,
20WA94,-33.72722,122.23319,11,WA,,
22WA09,-28.9430986,114.7391011,11,WA,,
22WA30,-32.59,119.32,11,WA,,
22WA31,-33.126,115.71,11,WA,,
22WA86,-30.56047159,118.0159132,11,WA,,
22WA88,-33.64193,122.02836,11,WA,,
22WA89,-33.64193,122.02836,11,WA,,
22WA64,-30.65,115.784,11,WA,,
22WA32,-31.746,116.681,9,WA,,
22WA46,-32.23853245,116.7642785,10,WA,,
20WA71,-33.64194,121.79839,12,WA,,
20WA72,-33.73845,121.22111,12,WA,,
20WA93,-33.7432,121.999147,12,WA,,
20WA95,-33.770668,121.07468,12,WA,,
21WA136,-32.91947105,121.6125762,12,WA,,
21WA137,-33.43290874,121.1029092,12,WA,,
22WA25,-31.46,117.246,12,WA,,
22WA34,-32.14,116.98,12,WA,,
20WA89,-31.6511396,116.6942266,13,WA,,
22SA10,-34.65,138.55,14,SA,,
22SA11,-34.35,138.55,14,SA,,
21WA134,-31.48186,118.27651,15,WA,,
22WA15,-32.38,117.95,15,WA,,
22WA28,-32.07,118.42,15,WA,,
22WA33,-32.22,116.96,15,WA,,
22WA56,-30.657,117.19,15,WA,,
22WA57,-31.085,116.565,15,WA,,
22WA58,-30.976,116.34,15,WA,,
22SA92-02,-34.04268,137.936448,16,SA,,
20ACT27,-35.28730262,149.0695919,17,ACT,,
20NSW19,-35.09595096,147.3487569,17,NSW,,
20NSW20,-35.09595096,147.3487569,17,NSW,,
21ACT106,-35.27162783,149.1094589,17,ACT,,
21ACT112,-35.26312391,149.081309,17,ACT,,
21NSW141,-35.09595096,147.3487569,17,NSW,,
21WA138,-33.43045961,121.7147129,17,WA,,
22NSW121,-35.118,147.368,17,NSW,,
22NSW75,-35.82,146.68,17,NSW,,
22NSW76,-35.7,147.3,17,NSW,,
22NSW84,-34.301,148.307,17,NSW,,
22SA12,-34.29,138.3,17,SA,,
22VIC01,-37.72294516,145.0537197,17,VIC,,
22VIC49,-36.73946823,142.1165835,17,VIC,,
22VIC67,-37.448,143.506,17,VIC,,
22VIC71,-35.748,143.089,17,VIC,,
22VIC74,-36.332,145.65,17,VIC,,
22WA22,-31.141,116.631,17,WA,,
22WA27,-31.91,118.141,17,WA,,
22WA43,-31.9548693,115.8812185,17,WA,,
22WA18,-32.263,116.746,17,WA,,
22WA19,-32.264683,116.744807,17,WA,,
22WA26,-31.641,117.49,17,WA,,
22WA62,-32.081,115.754,17,WA,,
22WA63,-32.1,115.82,17,WA,,
22WA65,-29.254,114.983,17,WA,,
22VIC68,-37.076,142.774,17,VIC,,
22VIC69,-36.714,142.123,17,VIC,,
22VIC70,-35.972,142.932,17,VIC,,
22VIC72,-36.009,146.401,17,VIC,,
22NSW77,-35.7,147.3,17,NSW,,
22NSW78,-35.1,148.1,17,NSW,,
22NSW82,-34.816,147.74,17,NSW,,
22NSW95,-33.902752,148.161596,17,NSW,,
22NSW96,-34.010451,147.800538,17,NSW,,
22NSW98,-32.538421,148.94494,17,NSW,,
22NSW99,-32.358978,149.519512,17,NSW,,
22NSW100,-32.041226,149.306929,17,NSW,,
22NSW104,-31.119866,149.901894,17,NSW,,
22SA131,-36.70339,140.854069,17,SA,,
23WA01,-32.1116,116.9197,,WA,,
23VIC03,-37.7739008,144.9870213,,VIC,,
23WA07,-33.6043,121.775371,,WA,,
23VIC09,-36.4993353,144.6058885,,VIC,,
23NSW13,-34.3571322,146.8996482,,NSW,,
23WA16,-34.9935648,117.8594156,,WA,,
23WA17,-34.381796,117.611296,,WA,,
23WA20,-32.3339835,117.8734831,,WA,,
23SA22,-34.2723168,138.7698855,,SA,,
23SA24,-34.9284989,138.6007456,,SA,,
23NSW25,-35.0566492,148.102061,,NSW,,
23SA31,-36.0993321,140.353141,,SA,,
23VIC32,-36.33278,141.6503408,,VIC,,
23NSW35,-35.3564281,145.7292848,,NSW,,
23SA40,-34.2644602,135.7269424,,SA,,
23WA43,-31.6539634,116.6619872,,WA,,
23WA44,-31.7511446,116.6800302,,WA,,
23VIC51,-37.0573831,142.7761356,,VIC,,
23SA52,-37.0956279,140.790559,,SA,,
23VIC53,-36.2578467,147.0065428,,VIC,,
23NSW54,-35.8327027,147.2504313,,NSW,,
23VIC59,-37.845644,144.0768421,,VIC,,
